name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Anápolis,2024-03-16,30.1,19.2,23.9,32.1,19.2,24.4,20.3,81.3,9.1,100,58.33,rain,0,0,14.8,17.4,35.2,1015,62.7,15.1,283.1,24.5,10,30,2024-03-16T06:19:04,2024-03-16T18:29:15,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"SBGO,SBAN"
Anápolis,2024-03-17,28.9,19.6,23.2,30.6,19.6,23.5,19.3,79.5,3.1,83.9,33.33,rain,0,0,9.4,9,17.2,1013,21.8,22.3,289.6,24.9,10,60,2024-03-17T06:19:15,2024-03-17T18:28:30,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Anápolis,2024-03-18,29.8,19.6,23.7,31,19.6,24.2,19.1,76.6,0.6,41.9,12.5,rain,0,0,16.9,8.3,33.1,1012.3,35.4,24.1,283.1,24.3,10,60,2024-03-18T06:19:25,2024-03-18T18:27:45,0.28,Partially cloudy,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day,
Anápolis,2024-03-19,29.5,20,23.8,30.8,20,24.1,19.4,77.4,2,45.2,20.83,rain,0,0,11.2,8.6,336,1011,51.4,23.7,238.8,20.6,10,60,2024-03-19T06:19:35,2024-03-19T18:26:59,0.31,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
Anápolis,2024-03-20,28.4,19.5,22.8,29.8,19.5,23.1,19.8,83.9,4.1,64.5,41.67,rain,0,0,14.4,11.9,335.1,1010.6,82.6,22.4,264.8,22.9,10,60,2024-03-20T06:19:45,2024-03-20T18:26:14,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Anápolis,2024-03-21,28,19.8,22.9,29.8,19.8,23.2,19.8,83.7,7.4,80.6,20.83,rain,0,0,21.6,10.4,317.7,1011.7,78.5,21,291.1,25.3,9,60,2024-03-21T06:19:55,2024-03-21T18:25:28,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Anápolis,2024-03-22,26.5,19.7,22.1,26.5,19.7,22.1,20,88.6,13.1,83.9,29.17,rain,0,0,15.5,10.1,123.4,1012,99.6,13.6,213.9,18.8,7,30,2024-03-22T06:20:05,2024-03-22T18:24:42,0.41,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Anápolis,2024-03-23,23.6,19.6,21.1,23.6,19.6,21.1,19.6,91.4,11,87.1,33.33,rain,0,0,12.2,9.4,68.4,1010.9,99.6,19.2,132.1,11.4,6,30,2024-03-23T06:20:15,2024-03-23T18:23:57,0.44,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Anápolis,2024-03-24,21.5,18.4,20.1,21.5,18.4,20.1,19,93.8,12,71,33.33,rain,0,0,24.8,11.2,35.6,1011.5,91.3,16.7,71.8,6.3,2,10,2024-03-24T06:20:24,2024-03-24T18:23:11,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Anápolis,2024-03-25,20.7,18.6,19.5,20.7,18.6,19.5,18.6,94.3,9.2,80.6,33.33,rain,0,0,29.4,11.9,116.6,1013.1,99.8,19.6,52.9,4.2,2,10,2024-03-25T06:20:34,2024-03-25T18:22:25,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Anápolis,2024-03-26,24,18.2,20.1,24,18.2,20.1,18.6,91.4,9.8,77.4,25,rain,0,0,42.8,16.6,95.8,1015.1,97.1,17.9,145.3,12.3,6,30,2024-03-26T06:20:43,2024-03-26T18:21:40,0.55,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Anápolis,2024-03-27,23.8,18.2,20.2,23.8,18.2,20.2,18.5,90.3,11.9,67.7,29.17,rain,0,0,30.2,13,119.7,1015,92.7,17.9,193,16.5,8,30,2024-03-27T06:20:53,2024-03-27T18:20:54,0.58,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Anápolis,2024-03-28,25,17.7,20.6,25,17.7,20.6,18.3,87.2,3.1,67.7,25,rain,0,0,33.8,16.9,95.8,1012.8,95.7,24,253.8,21.9,8,30,2024-03-28T06:21:02,2024-03-28T18:20:09,0.62,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Anápolis,2024-03-29,23,18.4,20,23,18.4,20,18.6,91.8,7.3,77.4,29.17,rain,0,0,34.9,13.3,81.1,1012.7,99.5,18.1,140.1,12,6,30,2024-03-29T06:21:12,2024-03-29T18:19:23,0.65,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Anápolis,2024-03-30,23.8,18.2,20.1,23.8,18.2,20.1,18.8,92.6,11,80.6,25,rain,0,0,37.1,13.7,65.9,1014,99.9,20,88.3,7.8,3,30,2024-03-30T06:21:21,2024-03-30T18:18:38,0.68,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
